,event name,Classification,genre,venue,Date,Zip code,City,State
404,The King And I,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-04-14,53202,Milwaukee,Wisconsin
405,The King And I,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-04-14,53202,Milwaukee,Wisconsin
406,Come from Away,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-05-07,53202,Milwaukee,Wisconsin
407,Come from Away,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-05-08,53202,Milwaukee,Wisconsin
408,Come from Away,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-05-09,53202,Milwaukee,Wisconsin
409,Come from Away,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-05-10,53202,Milwaukee,Wisconsin
410,Come from Away,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-05-11,53202,Milwaukee,Wisconsin
411,Come from Away,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-05-11,53202,Milwaukee,Wisconsin
412,Come from Away,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-05-12,53202,Milwaukee,Wisconsin
413,Come from Away,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-05-12,53202,Milwaukee,Wisconsin
414,Florentine Opera 85th Anniversary Concert,Arts & Theatre,Opera,Uihlein Hall Marcus Center,2019-05-17,53202,Milwaukee,Wisconsin
415,Florentine Opera 85th Anniversary Concert,Arts & Theatre,Opera,Uihlein Hall Marcus Center,2019-05-19,53202,Milwaukee,Wisconsin
416,American Girl Live,Miscellaneous,Family,Wilson Theater at Vogel Hall,2019-05-19,53203,Milwaukee,Wisconsin
417,Milwaukee Ballet presents A Midsummer Night's Dream,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2019-05-30,53202,Milwaukee,Wisconsin
418,Anastasia,Arts & Theatre,Miscellaneous,Uihlein Hall at Marcus Center,2019-07-23,53202,Milwaukee,Wisconsin
419,Anastasia,Arts & Theatre,Miscellaneous,Uihlein Hall at Marcus Center,2019-07-24,53202,Milwaukee,Wisconsin
420,Anastasia,Arts & Theatre,Miscellaneous,Uihlein Hall at Marcus Center,2019-07-25,53202,Milwaukee,Wisconsin
421,Anastasia,Arts & Theatre,Miscellaneous,Uihlein Hall at Marcus Center,2019-07-26,53202,Milwaukee,Wisconsin
422,Anastasia,Arts & Theatre,Miscellaneous,Uihlein Hall at Marcus Center,2019-07-27,53202,Milwaukee,Wisconsin
423,Anastasia,Arts & Theatre,Miscellaneous,Uihlein Hall at Marcus Center,2019-07-27,53202,Milwaukee,Wisconsin
424,Anastasia,Arts & Theatre,Miscellaneous,Uihlein Hall at Marcus Center,2019-07-28,53202,Milwaukee,Wisconsin
425,Anastasia,Arts & Theatre,Miscellaneous,Uihlein Hall at Marcus Center,2019-07-28,53202,Milwaukee,Wisconsin
426,Blue October,Music,Alternative,The Rave-Eagles Club,2018-10-13,53233,Milwaukee,Wisconsin
427,Milwaukee Ballet Presents the Nutcracker,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2018-12-09,53202,Milwaukee,Wisconsin
428,Milwaukee Ballet Presents the Nutcracker,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2018-12-22,53202,Milwaukee,Wisconsin
429,Milwaukee Ballet Presents the Nutcracker,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2018-12-16,53202,Milwaukee,Wisconsin
430,Milwaukee Ballet Presents the Nutcracker,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2018-12-22,53202,Milwaukee,Wisconsin
431,Emmylou Harris,Music,Country,Pabst Theater,2018-10-16,53202,Milwaukee,Wisconsin
432,Milwaukee Ballet Presents the Nutcracker,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2018-12-23,53202,Milwaukee,Wisconsin
433,Detroit Tigers at Milwaukee Brewers,Sports,Baseball,Miller Park,2018-09-28,53214,Milwaukee,Wisconsin
434,Detroit Tigers at Milwaukee Brewers,Sports,Baseball,Miller Park,2018-09-29,53214,Milwaukee,Wisconsin
435,Detroit Tigers at Milwaukee Brewers,Sports,Baseball,Miller Park,2018-09-30,53214,Milwaukee,Wisconsin
436,Doobie Brothers,Music,Rock,Riverside Theatre - WI,2018-10-09,53203,Milwaukee,Wisconsin
437,Rainbow Kitten Surprise,Music,Other,The Rave-Eagles Club,2018-10-16,53233,Milwaukee,Wisconsin
438,Maggie Rogers,Music,Other,Turner Hall Ballroom,2018-10-27,53203,Milwaukee,Wisconsin
439,Randy Rainbow Live,Arts & Theatre,Comedy,Pabst Theater,2018-11-02,53203,Milwaukee,Wisconsin
440,Craig Ferguson,Arts & Theatre,Undefined,Pabst Theater,2018-10-30,53202,Milwaukee,Wisconsin
441,Milwaukee Ballet Presents the Nutcracker,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2018-12-24,53202,Milwaukee,Wisconsin
442,Milwaukee Ballet Presents the Nutcracker,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2018-12-21,53202,Milwaukee,Wisconsin
443,Milwaukee Ballet Presents the Nutcracker,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2018-12-16,53202,Milwaukee,Wisconsin
444,Milwaukee Ballet Presents the Nutcracker,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2018-12-20,53202,Milwaukee,Wisconsin
445,Alison Krauss,Music,Country,Riverside Theatre - WI,2018-09-14,53203,Milwaukee,Wisconsin
446,Alison Krauss,Music,Country,Riverside Theatre,2018-09-14,53203,Milwaukee,Wisconsin
447,Kathleen Madigan,Arts & Theatre,Undefined,Pabst Theater,2018-09-21,53202,Milwaukee,Wisconsin
448,Hippo Campus w/ The Districts,Music,Pop,Pabst Theater,2018-10-05,53202,Milwaukee,Wisconsin
449,Frank Turner,Music,Alternative,Pabst Theater,2018-10-06,53202,Milwaukee,Wisconsin
450,Milwaukee Bucks vs. Minnesota Timberwolves,Sports,Basketball,Fiserv Forum,2018-10-12,53203,Milwaukee,Wisconsin
451,Hershey Bears at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2018-10-13,53203,Milwaukee,Wisconsin
452,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2018-10-13,53203,Milwaukee,Wisconsin
453,San Antonio Rampage at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2018-10-23,53203,Milwaukee,Wisconsin
454,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2018-10-23,53203,Milwaukee,Wisconsin
455,Seven Lions,Music,Other,Miramar Theatre,2018-10-25,53211,Milwaukee,Wisconsin
456,Cleveland Monsters at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2018-10-26,53203,Milwaukee,Wisconsin
457,Lake Street Dive,Music,Blues,Pabst Theater,2018-10-26,53202,Milwaukee,Wisconsin
458,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2018-10-26,53203,Milwaukee,Wisconsin
459,Manitoba Moose at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2018-10-27,53203,Milwaukee,Wisconsin
460,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2018-10-27,53203,Milwaukee,Wisconsin
461,Manitoba Moose at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2018-10-30,53203,Milwaukee,Wisconsin
462,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2018-10-30,53203,Milwaukee,Wisconsin
463,REO Speedwagon,Music,Rock,Riverside Theatre - WI,2018-11-13,53203,Milwaukee,Wisconsin
464,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2018-12-11,53203,Milwaukee,Wisconsin
465,The Book of Mormon,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-01-02,53202,Milwaukee,Wisconsin
466,The Book of Mormon,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-01-03,53202,Milwaukee,Wisconsin
467,The Book of Mormon,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-01-04,53202,Milwaukee,Wisconsin
468,The Book of Mormon,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-01-05,53202,Milwaukee,Wisconsin
469,The Book of Mormon,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-01-05,53202,Milwaukee,Wisconsin
470,The Book of Mormon,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-01-06,53202,Milwaukee,Wisconsin
471,The Book of Mormon,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-01-06,53202,Milwaukee,Wisconsin
472,Grand Rapids Griffins at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2019-01-09,53203,Milwaukee,Wisconsin
473,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2019-01-09,53203,Milwaukee,Wisconsin
474,San Antonio Rampage at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2019-01-22,53203,Milwaukee,Wisconsin
475,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2019-01-22,53203,Milwaukee,Wisconsin
476,Manitoba Moose at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2019-01-26,53203,Milwaukee,Wisconsin
477,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2019-01-26,53203,Milwaukee,Wisconsin
478,Manitoba Moose at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2019-02-01,53203,Milwaukee,Wisconsin
479,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2019-02-01,53203,Milwaukee,Wisconsin
480,Wilkes-Barre Scranton Penguins at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2019-02-08,53203,Milwaukee,Wisconsin
481,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2019-02-08,53203,Milwaukee,Wisconsin
482,San Antonio Rampage at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2019-02-12,53203,Milwaukee,Wisconsin
483,Fiddler On The Roof,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-02-12,53202,Milwaukee,Wisconsin
484,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2019-02-12,53203,Milwaukee,Wisconsin
485,Fiddler On The Roof,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-02-13,53202,Milwaukee,Wisconsin
486,Fiddler On The Roof,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-02-14,53202,Milwaukee,Wisconsin
487,Fiddler On The Roof,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-02-15,53202,Milwaukee,Wisconsin
488,Fiddler On The Roof,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-02-16,53202,Milwaukee,Wisconsin
489,Fiddler On The Roof,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-02-16,53202,Milwaukee,Wisconsin
490,Fiddler On The Roof,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-02-17,53202,Milwaukee,Wisconsin
491,Fiddler On The Roof,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-02-17,53202,Milwaukee,Wisconsin
492,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-06,53202,Milwaukee,Wisconsin
493,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-07,53202,Milwaukee,Wisconsin
494,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-08,53202,Milwaukee,Wisconsin
495,Grand Rapids Griffins at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2019-03-09,53203,Milwaukee,Wisconsin
496,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-09,53202,Milwaukee,Wisconsin
497,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-09,53202,Milwaukee,Wisconsin
498,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2019-03-09,53203,Milwaukee,Wisconsin
499,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-10,53202,Milwaukee,Wisconsin
500,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-10,53202,Milwaukee,Wisconsin
501,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-12,53202,Milwaukee,Wisconsin
502,Cleveland Monsters at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2019-03-13,53203,Milwaukee,Wisconsin
503,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-13,53202,Milwaukee,Wisconsin
504,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2019-03-13,53203,Milwaukee,Wisconsin
505,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-14,53202,Milwaukee,Wisconsin
506,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-15,53202,Milwaukee,Wisconsin
507,Grand Rapids Griffins at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2019-03-16,53203,Milwaukee,Wisconsin
508,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-16,53202,Milwaukee,Wisconsin
509,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-16,53202,Milwaukee,Wisconsin
510,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2019-03-16,53203,Milwaukee,Wisconsin
511,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-17,53202,Milwaukee,Wisconsin
512,Phantom Of The Opera,Arts & Theatre,Undefined,Uihlein Hall at Marcus Center,2019-03-17,53202,Milwaukee,Wisconsin
513,San Antonio Rampage at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2019-04-03,53203,Milwaukee,Wisconsin
514,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2019-04-03,53203,Milwaukee,Wisconsin
515,Grand Rapids Griffins at Milwaukee Admirals,Sports,Hockey,UW???Milwaukee Panther Arena,2019-04-13,53203,Milwaukee,Wisconsin
516,Milwaukee Admirals vs.,Sports,Hockey,UW–Milwaukee Panther Arena ,2019-04-13,53203,Milwaukee,Wisconsin
517,Derek Hough,Arts & Theatre,Miscellaneous,Riverside Theatre - WI,2019-05-18,53203,Milwaukee,Wisconsin
518,DEREK HOUGH: LIVE! THE TOUR,Arts & Theatre,Dance,Riverside Theatre,2019-05-18,53203,Milwaukee,Wisconsin
519,Milwaukee Ballet Presents the Nutcracker,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2018-12-23,53202,Milwaukee,Wisconsin
520,Milwaukee Ballet Presents the Nutcracker,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2018-12-26,53202,Milwaukee,Wisconsin
521,Milwaukee Ballet Presents the Nutcracker,Arts & Theatre,Dance,Uihlein Hall Marcus Center,2018-12-26,53202,Milwaukee,Wisconsin
522,Terry Bozzio,Undefined,Undefined,Shank Hall,2018-09-19,53202,Milwaukee,Wisconsin
523,Danny Gokey,Undefined,Undefined,Pabst Theater,2018-10-03,53202,Milwaukee,Wisconsin
524,Iliza Shlesinger,Undefined,Undefined,Pabst Theater,2018-09-13,53202,Milwaukee,Wisconsin
