,event name,Classification,genre,venue,Date,Zip code,City,State
764,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-10-27,60657,Chicago,Illinois
765,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-11-03,60657,Chicago,Illinois
766,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-16,60611,Chicago,Illinois
767,Helloween,Music,Rock,Concord Music Hall,2018-09-10,60647,Chicago,Illinois
768,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-09-01,60611,Chicago,Illinois
769,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-22,60611,Chicago,Illinois
770,Jim James,Music,Other,Vic Theater,2018-11-09,60657,Chicago,Illinois
771,Waistwatchers The Musical!,Arts & Theatre,Theatre,Royal George Theatre,2018-09-16,60614,Chicago,Illinois
772,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-25,60611,Chicago,Illinois
773,Rufus Wainwright,Music,Alternative,Vic Theater,2018-11-20,60657,Chicago,Illinois
774,Shakey Graves,Music,Country,Riviera Theatre- IL,2018-09-26,60640,Chicago,Illinois
775,Charlie And The Chocolate Factory (Chicago),Arts & Theatre,Theatre,Oriental Theatre Chicago,2018-10-03,60601,Chicago,Illinois
776,Luke Bryan,Music,Country,Wrigley Field,2018-09-01,60613,Chicago,Illinois
777,Pittsburgh Pirates at Chicago Cubs,Sports,Baseball,Wrigley Field,2018-09-27,60613,Chicago,Illinois
778,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-09-08,60611,Chicago,Illinois
779,"Taps Through Time: The Past, Present and Future of Chicago Craft Beer",Miscellaneous,Food & Drink,House of Blues Chicago presented by Cricket Wireless,2018-08-16,60654,Chicago,Illinois
780,World Famous Gospel Brunch at House of Blues (CHI),Music,Religious,House of Blues Chicago presented by Cricket Wireless,2018-08-05,60654,Chicago,Illinois
781,Dr. Seuss' How The Grinch Stole Christmas! The Musical,Arts & Theatre,Theatre,The Chicago Theatre,2018-11-25,60601,Chicago,Illinois
782,Sure Sure | Wilderado,Music,Rock,Chop Shop,2018-10-31,60647,Chicago,Illinois
783,World Famous Gospel Brunch at House of Blues (CHI),Music,Religious,House of Blues Chicago presented by Cricket Wireless,2018-08-12,60654,Chicago,Illinois
784,Tootsie (Chicago),Arts & Theatre,Theatre,Cadillac Palace,2018-10-09,60602,Chicago,Illinois
785,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-15,60611,Chicago,Illinois
786,Kiiara,Music,Other,Lincoln Hall,2018-10-29,60614,Chicago,Illinois
787,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-23,60611,Chicago,Illinois
788,Waistwatchers The Musical!,Arts & Theatre,Theatre,Royal George Theatre,2018-09-13,60614,Chicago,Illinois
789,Charlie And The Chocolate Factory (Chicago),Arts & Theatre,Theatre,Oriental Theatre Chicago,2018-10-04,60601,Chicago,Illinois
790,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-24,60611,Chicago,Illinois
791,Waistwatchers The Musical!,Arts & Theatre,Theatre,Royal George Theatre,2018-09-14,60614,Chicago,Illinois
792,ABBARAMA,Music,Undefined,House of Blues Chicago presented by Cricket Wireless,2018-09-22,60654,Chicago,Illinois
793,Tootsie (Chicago),Arts & Theatre,Theatre,Cadillac Palace,2018-10-03,60602,Chicago,Illinois
794,Cold Waves,Music,Other,Metro,2018-09-21,60657,Chicago,Illinois
795,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-09-01,60611,Chicago,Illinois
796,Jay Rock,Music,Hip-Hop/Rap,Concord Music Hall,2018-09-14,60647,Chicago,Illinois
797,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-10-05,60657,Chicago,Illinois
798,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-10-06,60657,Chicago,Illinois
799,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-10-07,60657,Chicago,Illinois
800,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-24,60657,Chicago,Illinois
801,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-24,60657,Chicago,Illinois
802,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-26,60657,Chicago,Illinois
803,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-26,60657,Chicago,Illinois
804,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-26,60657,Chicago,Illinois
805,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-26,60657,Chicago,Illinois
806,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-27,60657,Chicago,Illinois
807,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-27,60657,Chicago,Illinois
808,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-27,60657,Chicago,Illinois
809,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-27,60657,Chicago,Illinois
810,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-28,60657,Chicago,Illinois
811,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-28,60657,Chicago,Illinois
812,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-28,60657,Chicago,Illinois
813,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-28,60657,Chicago,Illinois
814,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-29,60657,Chicago,Illinois
815,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-29,60657,Chicago,Illinois
816,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-29,60657,Chicago,Illinois
817,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-29,60657,Chicago,Illinois
818,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-30,60657,Chicago,Illinois
819,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-30,60657,Chicago,Illinois
820,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-30,60657,Chicago,Illinois
821,Blue Man Group,Arts & Theatre,Spectacular,Briar Street Theatre,2018-12-30,60657,Chicago,Illinois
822,Tootsie (Chicago),Arts & Theatre,Theatre,Cadillac Palace,2018-10-12,60602,Chicago,Illinois
823,Talking Heads Tribute: Start Making Sense,Music,Undefined,House of Blues Chicago presented by Cricket Wireless,2018-09-29,60654,Chicago,Illinois
824,VAV,Music,Other,Copernicus Center,2018-08-23,60630,Chicago,Illinois
825,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-10,60611,Chicago,Illinois
826,Columbus Blue Jackets at Chicago Blackhawks,Sports,Hockey,United Center,2018-09-29,60612,Chicago,Illinois
827,Chicago Blackhawks v. Columbus Blue Jackets (PRESEASON),Sports,Hockey,United Center,2018-09-29,60612,Chicago,Illinois
828,Calgary Flames at Chicago Blackhawks,Sports,Hockey,United Center,2018-12-02,60612,Chicago,Illinois
829,Montreal Canadiens at Chicago Blackhawks,Sports,Hockey,United Center,2018-12-09,60612,Chicago,Illinois
830,San Jose Sharks at Chicago Blackhawks,Sports,Hockey,United Center,2018-12-16,60612,Chicago,Illinois
831,Calgary Flames at Chicago Blackhawks,Sports,Hockey,United Center,2019-01-07,60612,Chicago,Illinois
832,Columbus Blue Jackets at Chicago Blackhawks,Sports,Hockey,United Center,2019-02-16,60612,Chicago,Illinois
833,Colorado Avalanche at Chicago Blackhawks,Sports,Hockey,United Center,2019-02-22,60612,Chicago,Illinois
834,Colorado Avalanche at Chicago Blackhawks,Sports,Hockey,United Center,2019-03-24,60612,Chicago,Illinois
835,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-09,60611,Chicago,Illinois
836,HOB & Silver Wrapper Presents Kasbo,Music,Dance/Electronic,House of Blues Chicago presented by Cricket Wireless,2018-11-17,60654,Chicago,Illinois
837,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-18,60611,Chicago,Illinois
838,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-09-09,60611,Chicago,Illinois
839,Dallas Stars at Chicago Blackhawks,Sports,Hockey,United Center,2019-02-24,60612,Chicago,Illinois
840,Dallas Stars at Chicago Blackhawks,Sports,Hockey,United Center,2019-04-05,60612,Chicago,Illinois
841,Dr. Seuss' How The Grinch Stole Christmas! The Musical,Arts & Theatre,Theatre,The Chicago Theatre,2018-11-18,60601,Chicago,Illinois
842,Tootsie (Chicago),Arts & Theatre,Theatre,Cadillac Palace,2018-09-16,60602,Chicago,Illinois
843,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-16,60611,Chicago,Illinois
844,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-09-01,60611,Chicago,Illinois
845,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-22,60611,Chicago,Illinois
846,Jim James,Music,Other,Vic Theater,2018-11-09,60657,Chicago,Illinois
847,Waistwatchers The Musical!,Arts & Theatre,Theatre,Royal George Theatre,2018-09-16,60614,Chicago,Illinois
848,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-25,60611,Chicago,Illinois
849,Rufus Wainwright,Music,Alternative,Vic Theater,2018-11-20,60657,Chicago,Illinois
850,Shakey Graves,Music,Country,Riviera Theatre- IL,2018-09-26,60640,Chicago,Illinois
851,Charlie And The Chocolate Factory (Chicago),Arts & Theatre,Theatre,Oriental Theatre Chicago,2018-10-03,60601,Chicago,Illinois
852,Milwaukee Brewers at Chicago Cubs,Sports,Baseball,Wrigley Field,2018-08-15,60613,Chicago,Illinois
853,Milwaukee Brewers at Chicago Cubs,Sports,Baseball,Wrigley Field,2018-09-10,60613,Chicago,Illinois
854,Milwaukee Brewers at Chicago Cubs,Sports,Baseball,Wrigley Field,2018-09-11,60613,Chicago,Illinois
855,Milwaukee Brewers at Chicago Cubs,Sports,Baseball,Wrigley Field,2018-09-12,60613,Chicago,Illinois
856,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-09-08,60611,Chicago,Illinois
857,"Taps Through Time: The Past, Present and Future of Chicago Craft Beer",Miscellaneous,Food & Drink,House of Blues Chicago presented by Cricket Wireless,2018-08-16,60654,Chicago,Illinois
858,World Famous Gospel Brunch at House of Blues (CHI),Music,Religious,House of Blues Chicago presented by Cricket Wireless,2018-08-05,60654,Chicago,Illinois
859,Dr. Seuss' How The Grinch Stole Christmas! The Musical,Arts & Theatre,Theatre,The Chicago Theatre,2018-11-25,60601,Chicago,Illinois
860,Sure Sure | Wilderado,Music,Rock,Chop Shop,2018-10-31,60647,Chicago,Illinois
861,World Famous Gospel Brunch at House of Blues (CHI),Music,Religious,House of Blues Chicago presented by Cricket Wireless,2018-08-12,60654,Chicago,Illinois
862,Tootsie (Chicago),Arts & Theatre,Theatre,Cadillac Palace,2018-10-09,60602,Chicago,Illinois
863,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-15,60611,Chicago,Illinois
864,Kiiara,Music,Other,Lincoln Hall,2018-10-29,60614,Chicago,Illinois
865,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-23,60611,Chicago,Illinois
866,Waistwatchers The Musical!,Arts & Theatre,Theatre,Royal George Theatre,2018-09-13,60614,Chicago,Illinois
867,Charlie And The Chocolate Factory (Chicago),Arts & Theatre,Theatre,Oriental Theatre Chicago,2018-10-04,60601,Chicago,Illinois
868,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-24,60611,Chicago,Illinois
869,Waistwatchers The Musical!,Arts & Theatre,Theatre,Royal George Theatre,2018-09-14,60614,Chicago,Illinois
870,ABBARAMA,Music,Undefined,House of Blues Chicago presented by Cricket Wireless,2018-09-22,60654,Chicago,Illinois
871,Tootsie (Chicago),Arts & Theatre,Theatre,Cadillac Palace,2018-10-03,60602,Chicago,Illinois
872,Cold Waves,Music,Other,Metro,2018-09-21,60657,Chicago,Illinois
873,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-09-01,60611,Chicago,Illinois
874,$UICIDEBOY$,Music,Other,Riviera Theatre- IL,2018-09-09,60640,Chicago,Illinois
875,Jay Rock,Music,Hip-Hop/Rap,Concord Music Hall,2018-09-14,60647,Chicago,Illinois
876,101.9 THE MIX PRESENTS Meghan Trainor / X Ambassadors / Brynn Elliot,Music,Rock,The Chicago Theatre,2018-09-15,60601,Chicago,Illinois
877,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-14,60611,Chicago,Illinois
878,Riot Fest,Miscellaneous,Fairs & Festivals,Douglas Park,2018-09-15,60623,Chicago,Illinois
879,Charlie And The Chocolate Factory (Chicago),Arts & Theatre,Theatre,Oriental Theatre Chicago,2018-10-17,60601,Chicago,Illinois
880,World Famous Gospel Brunch at House of Blues (CHI),Music,Religious,House of Blues Chicago presented by Cricket Wireless,2018-08-05,60654,Chicago,Illinois
881,Car Seat Headrest w/ Naked Giants,Music,Alternative,Vic Theater,2018-09-07,60657,Chicago,Illinois
882,Pedro Capo,Music,Other,City Winery - Chicago,2018-08-30,60607,Chicago,Illinois
883,Charlie And The Chocolate Factory (Chicago),Arts & Theatre,Theatre,Oriental Theatre Chicago,2018-10-09,60601,Chicago,Illinois
884,Charlie And The Chocolate Factory (Chicago),Arts & Theatre,Theatre,Oriental Theatre Chicago,2018-10-10,60601,Chicago,Illinois
885,Welshly Arms: No Place Is Home Tour,Music,Rock,Chop Shop,2018-09-27,60647,Chicago,Illinois
886,Vivian Green,Music,R&B,City Winery - Chicago,2018-08-11,60607,Chicago,Illinois
887,St. Lucia,Music,Alternative,Concord Music Hall,2018-10-03,60647,Chicago,Illinois
888,Streetlight Manifesto,Music,Rock,Riviera Theatre- IL,2018-11-17,60640,Chicago,Illinois
889,Vivian Green,Music,R&B,City Winery - Chicago,2018-08-11,60607,Chicago,Illinois
890,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-21,60611,Chicago,Illinois
891,Charlie And The Chocolate Factory (Chicago),Arts & Theatre,Theatre,Oriental Theatre Chicago,2018-10-11,60601,Chicago,Illinois
892,Waistwatchers The Musical!,Arts & Theatre,Theatre,Royal George Theatre,2018-09-15,60614,Chicago,Illinois
893,Rumours: A Fleetwood Mac Tribute,Music,Other,Patio Theater,2018-09-21,60634,Chicago,Illinois
894,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-17,60611,Chicago,Illinois
895,North Coast Music Festival,Miscellaneous,Fairs & Festivals,Union Park,2018-08-31,60657,Chicago,Illinois
896,World Famous Gospel Brunch at House of Blues (CHI),Music,Religious,House of Blues Chicago presented by Cricket Wireless,2018-08-12,60654,Chicago,Illinois
897,Tootsie (Chicago),Arts & Theatre,Theatre,Cadillac Palace,2018-10-10,60602,Chicago,Illinois
898,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-28,60611,Chicago,Illinois
899,North Coast Music Festival,Miscellaneous,Fairs & Festivals,Union Park,2018-09-01,60657,Chicago,Illinois
900,Gallant,Music,R&B,Concord Music Hall,2018-11-03,60647,Chicago,Illinois
901,Waistwatchers The Musical!,Arts & Theatre,Theatre,Royal George Theatre,2018-09-23,60614,Chicago,Illinois
902,Jean Luc Ponty,Music,Other,City Winery - Chicago,2018-08-13,60607,Chicago,Illinois
