,event name,Classification,genre,venue,Date,Zip code,City,State
110,Matt Stansberry And The Romance,Music,Rock,Halloran Centre at the Orpheum Theatre Memphis,2018-10-20,38103,Memphis,Tennessee
111,Ministry,Music,Rock,New Daisy Theatre,2018-12-11,38103,Memphis,Tennessee
112,Corey Smith,Music,Country,Tin Roof Memphis,2018-08-09,38103,Memphis,Tennessee
113,Savants of Soul / Tba,Music,R&B,Growlers,2018-08-08,38104,Memphis,Tennessee
114,Fresno Grizzlies at Memphis Redbirds,Sports,Baseball,Autozone Park,2018-08-07,38103,Memphis,Tennessee
115,Invasion of the Candy Cane Children!!,Music,Rock,Growlers,2018-08-10,38104,Memphis,Tennessee
116,Thief's Hand / Stepping Stone and More..,Music,Metal,Growlers,2018-08-11,38104,Memphis,Tennessee
117,New Orleans Baby Cakes at Memphis Redbirds,Sports,Baseball,Autozone Park,2018-08-13,38103,Memphis,Tennessee
118,New Orleans Baby Cakes at Memphis Redbirds,Sports,Baseball,Autozone Park,2018-08-14,38103,Memphis,Tennessee
119,New Orleans Baby Cakes at Memphis Redbirds,Sports,Baseball,Autozone Park,2018-08-15,38103,Memphis,Tennessee
120,New Orleans Baby Cakes at Memphis Redbirds,Sports,Baseball,Autozone Park,2018-08-16,38103,Memphis,Tennessee
121,Round Rock Express at Memphis Redbirds,Sports,Baseball,Autozone Park,2018-08-17,38103,Memphis,Tennessee
122,Round Rock Express at Memphis Redbirds,Sports,Baseball,Autozone Park,2018-08-18,38103,Memphis,Tennessee
123,Round Rock Express at Memphis Redbirds,Sports,Baseball,Autozone Park,2018-08-19,38103,Memphis,Tennessee
124,Upon a Burning Body,Music,Metal,Growlers,2018-08-21,38104,Memphis,Tennessee
125,Dopethrone W/ Crud & Hellthrasher,Music,Metal,Growlers,2018-08-24,38104,Memphis,Tennessee
126,You Were the Last Good Thing About This Part of Town,Music,Rock,Growlers,2018-08-25,38104,Memphis,Tennessee
127,Andy Frasco and the U.N.,Music,Rock,Lafayette's Music Room - Memphis,2018-08-30,38104,Memphis,Tennessee
128,Rusko,Music,Dance/Electronic,New Daisy Theatre,2018-08-30,38103,Memphis,Tennessee
129,Glow Rave,Music,Other,1884 Lounge,2018-09-01,38104,Memphis,Tennessee
130,Lost Dog Street Band,Music,Country,Lafayette's Music Room - Memphis,2018-09-06,38104,Memphis,Tennessee
131,Lil Scrappy,Music,Hip-Hop/Rap,Minglewood Hall,2018-09-08,38104,Memphis,Tennessee
132,Moon Taxi,Music,Other,New Daisy Theatre,2018-09-08,38103,Memphis,Tennessee
133,Sam Morrow,Music,Country,Growlers,2018-09-09,38104,Memphis,Tennessee
134,Georgia State Panthers Football at Memphis Tigers Football,Sports,Football,Liberty Bowl Stadium,2018-09-14,38104,Memphis,Tennessee
135,Young Dubliners,Music,Rock,Lafayette's Music Room - Memphis,2018-09-18,38104,Memphis,Tennessee
136,Bonerama,Music,R&B,Lafayette's Music Room - Memphis,2018-09-19,38104,Memphis,Tennessee
137,The Suicide Girls,Music,Other,Minglewood Hall,2018-09-20,38104,Memphis,Tennessee
138,Adam Wakefield,Music,Other,1884 Lounge,2018-09-21,38104,Memphis,Tennessee
139,JJ Grey,Music,Other,Minglewood Hall,2018-09-21,38104,Memphis,Tennessee
140,One Less Reason,Music,Rock,Lafayette's Music Room - Memphis,2018-09-22,38104,Memphis,Tennessee
141,South Alabama Jaguars Football at Memphis Tigers Football,Sports,Football,Liberty Bowl Stadium,2018-09-22,38104,Memphis,Tennessee
142,Tamia,Music,R&B,New Daisy Theatre,2018-09-23,38103,Memphis,Tennessee
143,Future Generations W/ Zuli,Music,Rock,Growlers,2018-09-24,38104,Memphis,Tennessee
144,"The Weight Band featuring Members of the Band, Levon Helm Band and Ric",Music,Country,Lafayette's Music Room - Memphis,2018-09-26,38104,Memphis,Tennessee
145,Voice Power!,Arts & Theatre,Children's Theatre,Halloran Centre at the Orpheum Theatre Memphis,2018-09-29,38103,Memphis,Tennessee
146,Memphis Japan Festival at the Garden,Miscellaneous,Family,Memphis Botanic Garden,2018-09-30,38117,Memphis,Tennessee
147,Uada W/ Panzerfaust / Imperial Triumphmant,Music,Metal,Growlers,2018-10-01,38104,Memphis,Tennessee
148,Slaves (UK),Music,Rock,Growlers,2018-10-07,38104,Memphis,Tennessee
149,Eric Johnson,Music,Other,New Daisy Theatre,2018-10-07,38103,Memphis,Tennessee
150,Black Pumas,Music,R&B,Growlers,2018-10-08,38104,Memphis,Tennessee
151,Goatwhore W/ Uncured,Music,Metal,Growlers,2018-10-11,38104,Memphis,Tennessee
152,Houndmouth,Music,Country,Minglewood Hall,2018-10-12,38104,Memphis,Tennessee
153,Melodime,Music,Rock,Lafayette's Music Room - Memphis,2018-10-17,38104,Memphis,Tennessee
154,Acoustic Alchemy,Music,Jazz,Lafayette's Music Room - Memphis,2018-10-22,38104,Memphis,Tennessee
155,Asleep At the Wheel,Music,Country,Lafayette's Music Room - Memphis,2018-10-28,38104,Memphis,Tennessee
156,Asleep at the Wheel,Music,Country,Lafayette's Music Room,2018-10-28,38104,Memphis,Tennessee
157,Dirt Monkey,Music,Other,New Daisy Theatre,2018-11-08,38103,Memphis,Tennessee
158,Tulsa Golden Hurricane Football at Memphis Tigers Football,Sports,Football,Liberty Bowl Stadium,2018-11-10,38104,Memphis,Tennessee
159,Wild Things Campfire Party at the Garden,Miscellaneous,Family,Memphis Botanic Garden,2018-11-16,38117,Memphis,Tennessee
160,Houston Cougars Football at Memphis Tigers Football,Sports,Football,Liberty Bowl Stadium,2018-11-23,38104,Memphis,Tennessee
161,Kenny Neal,Music,Blues,Lafayette's Music Room - Memphis,2018-12-13,38104,Memphis,Tennessee
