,event name,Classification,genre,venue,Date,Zip code,City,State
55,NPR's Ask Me Another,Arts & Theatre,Comedy,The Pageant,2018-09-06,63112,St Louis,Missouri
56,Kevin Smith,Arts & Theatre,Comedy,The Pageant,2018-10-14,63112,St Louis,Missouri
57,Dr. Seuss' How the Grinch Stole Christmas! The Musical (Touring),Arts & Theatre,Theatre,Stifel Theatre,2018-12-15,63103,St. Louis,Missouri
58,Joan Baez Fare Thee Well... Tour 2019,Music,Rock,The Pageant,2019-04-22,63112,St Louis,Missouri
59,Monster Energy Outbreak Tour Presents: Lil Xan -Total Xanarchy,Music,Hip-Hop/Rap,The Pageant,2018-10-10,63112,St Louis,Missouri
60,"RBRM: Ronnie, Bobby, Ricky & Mike",Music,R&B,Chaifetz Arena,2018-09-16,63103,St. Louis,Missouri
61,Disney On Ice presents Dare To Dream,Miscellaneous,Ice Shows,Chaifetz Arena,2018-09-22,63103,St. Louis,Missouri
62,Trampled By Turtles,Music,Country,The Pageant,2018-10-11,63112,St Louis,Missouri
63,Panic! At the Disco: Pray for the Wicked Tour with Two Feet,Music,Rock,Enterprise Center,2019-02-05,63103,St Louis,Missouri
64,DEREK HOUGH: LIVE! THE TOUR,Arts & Theatre,Dance,Stifel Theatre,2019-05-10,63103,St. Louis,Missouri
65,A.R.C. Angels Foundation Present: Little Feat,Music,Other,The Pageant,2018-08-11,63112,St Louis,Missouri
66,SHAMROCK FC 309,Sports,Martial Arts,River City Casino and Hotel,2018-09-07,63125,St Louis,Missouri
67,Dr. Seuss' How the Grinch Stole Christmas! The Musical (Touring),Arts & Theatre,Theatre,Stifel Theatre,2018-12-16,63103,St. Louis,Missouri
68,Dr. Seuss' How the Grinch Stole Christmas! The Musical (Touring),Arts & Theatre,Theatre,Stifel Theatre,2018-12-15,63103,St. Louis,Missouri
69,Gallagher,Arts & Theatre,Comedy,River City Casino and Hotel,2018-10-12,63125,St Louis,Missouri
70,SHAMROCK FC 311,Sports,Martial Arts,River City Casino and Hotel,2018-11-02,63125,St Louis,Missouri
71,SiriusXM Outlaw Country Presents: Turnpike Troubadours,Music,Country,The Pageant,2018-11-17,63112,St Louis,Missouri
72,An Evening with Lyle Lovett and His Large Band,Music,Country,Stifel Theatre,2018-09-01,63103,St. Louis,Missouri
73,THRICE,Music,Rock,The Pageant,2018-10-13,63112,St Louis,Missouri
74,Walk Off the Earth,Music,Rock,The Pageant,2018-11-10,63112,St Louis,Missouri
75,Elvis Costello & the Imposters,Music,Rock,Stifel Theatre,2018-11-21,63103,St. Louis,Missouri
76,SUPERTRAMP'S ROGER HODGSON,Music,Rock,River City Casino and Hotel,2018-11-13,63125,St Louis,Missouri
77,SUPERTRAMP'S ROGER HODGSON,Music,Rock,River City Casino and Hotel,2018-11-12,63125,St Louis,Missouri
78,Dark Star Orchestra,Music,Rock,The Pageant,2018-10-04,63112,St Louis,Missouri
79,The Psychedelic Furs,Music,Rock,The Pageant,2018-08-10,63112,St Louis,Missouri
80,Mock Orange,Music,Rock,Duck Room at Blueberry Hill,2018-08-24,63130,St Louis,Missouri
81,Live Nation Presents Journey & Def Leppard,Music,Rock,Busch Stadium,2018-08-24,63102,St Louis,Missouri
82,Caamp,Music,Rock,Duck Room at Blueberry Hill,2018-12-08,63130,St Louis,Missouri
83,Chief Keef,Music,Hip-Hop/Rap,The Pageant,2018-10-26,63112,St Louis,Missouri
84,The Charlie Daniels Band,Music,Country,River City Casino and Hotel,2018-11-04,63125,St Louis,Missouri
85,Dr. Seuss' How the Grinch Stole Christmas! The Musical (Touring),Arts & Theatre,Theatre,Stifel Theatre,2018-12-14,63103,St. Louis,Missouri
86,RuPaul's Drag Race: Werq The World,Arts & Theatre,Fashion,The Pageant,2018-09-14,63112,St Louis,Missouri
87,Ben Rector - Magic: The Tour,Music,Rock,The Pageant,2018-11-09,63112,St Louis,Missouri
88,Blue October,Music,Rock,The Pageant,2018-10-12,63112,St Louis,Missouri
89,Wild Kratts Live 2.0 - Activate Creature Power!,Arts & Theatre,Children's Theatre,Stifel Theatre,2018-11-18,63103,St. Louis,Missouri
90,"Rainbow Kitten Surprise - The Friend, Love, Freefall Tour",Music,Rock,The Pageant,2018-10-19,63112,St Louis,Missouri
91,Manchester Orchestra,Music,Rock,The Pageant,2018-08-07,63112,St Louis,Missouri
92,Dr. Seuss' How the Grinch Stole Christmas! The Musical (Touring),Arts & Theatre,Theatre,Stifel Theatre,2018-12-13,63103,St. Louis,Missouri
93,Prophets of Rage,Music,Rock,The Pageant,2018-08-13,63112,St Louis,Missouri
94,Shakey Graves,Music,Rock,The Pageant,2018-09-30,63112,St Louis,Missouri
95,Lord of the Dance - Dangerous Games,Arts & Theatre,Dance,Stifel Theatre,2018-11-04,63103,St. Louis,Missouri
96,The Record Company,Music,Rock,The Pageant,2018-09-20,63112,St Louis,Missouri
97,Chromeo,Music,Rock,The Pageant,2018-09-19,63112,St Louis,Missouri
98,Monica,Music,R&B,The Pageant,2018-08-18,63112,St Louis,Missouri
99,Koo Koo Kangaroo,Music,Pop,Duck Room at Blueberry Hill,2018-11-29,63130,St Louis,Missouri
100,Henry Rollins Travel Slideshow,Music,Other,The Pageant,2018-10-02,63112,St Louis,Missouri
101,Little River Band,Music,Rock,River City Casino and Hotel,2018-10-06,63125,St Louis,Missouri
102,Dr. Seuss' How the Grinch Stole Christmas! The Musical (Touring),Arts & Theatre,Theatre,Stifel Theatre,2018-12-15,63103,St. Louis,Missouri
103,Dr. Seuss' How the Grinch Stole Christmas! The Musical (Touring),Arts & Theatre,Theatre,Stifel Theatre,2018-12-16,63103,St. Louis,Missouri
104,Swingin Utters,Music,Rock,Duck Room at Blueberry Hill,2018-10-02,63130,St Louis,Missouri
105,Joe Pera,Arts & Theatre,Comedy,Duck Room at Blueberry Hill,2018-08-08,63130,St Louis,Missouri
106,Daughtry,Music,Rock,River City Casino and Hotel,2018-12-05,63125,St Louis,Missouri
107,Gateway Dirt Nationals Prelim Night,Sports,Motorsports/Racing,The Dome at America's Center,2018-11-29,63101,St Louis,Missouri
108,Big Gigantic,Music,Dance/Electronic,The Pageant,2018-11-01,63112,St Louis,Missouri
109,Parkway Drive - REVERENCE North American Tour 2018,Music,Metal,The Pageant,2018-09-04,63112,St Louis,Missouri
110,Lydia,Music,Rock,Duck Room at Blueberry Hill,2018-08-18,63130,St Louis,Missouri
111,Novella Presents Dino Merlin,Music,Other,The Pageant,2018-09-29,63112,St Louis,Missouri
112,We Banjo 3,Music,Country,Duck Room at Blueberry Hill,2018-08-30,63130,St Louis,Missouri
113,Slothrust,Music,Rock,Duck Room at Blueberry Hill,2018-10-19,63130,St Louis,Missouri
114,Hippo Campus,Music,Rock,The Pageant,2018-10-09,63112,St Louis,Missouri
115,Hairball Stl 2018,Miscellaneous,Community/Civic,The Pageant,2018-09-16,63112,St Louis,Missouri
116,PSDI Celebrates The Concert For Bangladesh,Music,Other,The Pageant,2018-08-25,63112,St Louis,Missouri
117,IDLES,Music,Rock,Duck Room at Blueberry Hill,2018-09-29,63130,St Louis,Missouri
118,Roky Erickson,Music,Rock,Duck Room at Blueberry Hill,2018-11-10,63130,St Louis,Missouri
119,Natalie Prass,Music,Folk,Duck Room at Blueberry Hill,2018-08-17,63130,St Louis,Missouri
120,Blitzen Trapper,Music,Country,Duck Room at Blueberry Hill,2018-10-10,63130,St Louis,Missouri
121,Miniature Tigers,Music,Rock,Duck Room at Blueberry Hill,2018-09-21,63130,St Louis,Missouri
122,Black Joe Lewis & the Honeybears,Music,Rock,Duck Room at Blueberry Hill,2018-08-19,63130,St Louis,Missouri
123,2018 PGA Championship VIP Packages,Sports,Golf,Bellerive Country Club,2018-08-06,63141,St Louis,Missouri
124,The Coronas,Music,Rock,Duck Room at Blueberry Hill,2018-10-14,63130,St Louis,Missouri
125,Tall Heights,Music,Rock,Duck Room at Blueberry Hill,2018-10-23,63130,St Louis,Missouri
126,River Whyless,Music,Rock,Duck Room at Blueberry Hill,2018-08-22,63130,St Louis,Missouri
127,Rozwell Kid,Music,Rock,Duck Room at Blueberry Hill,2018-11-13,63130,St Louis,Missouri
128,Melodime,Music,Rock,Duck Room at Blueberry Hill,2018-10-26,63130,St Louis,Missouri
129,Q In The Lou VIP Pass,Miscellaneous,Fairs & Festivals,Kiener Plaza,2018-09-22,63101,St Louis,Missouri
130,Black Lips,Music,Rock,Duck Room at Blueberry Hill,2018-10-31,63130,St Louis,Missouri
131,Sleeping with Sirens,Music,Rock,The Ready Room,2018-08-07,63110,St. Louis,Missouri
132,Sunflower Bean,Music,Rock,Duck Room at Blueberry Hill,2018-09-23,63130,St Louis,Missouri
133,Jake Owen: Life's Whatcha Make It Tour,Music,Country,Chaifetz Arena,2018-10-19,63103,St. Louis,Missouri
134,The Appleseed Cast,Music,Rock,Duck Room at Blueberry Hill,2018-10-21,63130,St Louis,Missouri
135,Strung Out,Music,Rock,Duck Room at Blueberry Hill,2018-08-23,63130,St Louis,Missouri
136,The Nude Party,Music,Rock,Duck Room at Blueberry Hill,2018-10-04,63130,St Louis,Missouri
137,Stevie Ray Vaughan Tribute,Music,Blues,The Pageant,2018-11-24,63112,St Louis,Missouri
138,Labor Day Comedy Jam,Arts & Theatre,Comedy,The Pageant,2018-09-02,63112,St Louis,Missouri
139,Pile,Music,Rock,Duck Room at Blueberry Hill,2018-10-07,63130,St Louis,Missouri
140,Q In The Lou VIP Pass,Miscellaneous,Fairs & Festivals,Kiener Plaza,2018-09-23,63101,St Louis,Missouri
141,Luke Bryan: What Makes You Country Tour 2018,Music,Country,Busch Stadium,2018-08-25,63102,St Louis,Missouri
142,O.A.R. - Just Like Paradise Tour,Music,Rock,The Pageant,2018-11-16,63112,St Louis,Missouri
143,Q In The Lou VIP Pass,Miscellaneous,Fairs & Festivals,Kiener Plaza,2018-09-21,63101,St Louis,Missouri
144,St. Louis Actors' Studio - The Little Foxes,Arts & Theatre,Theatre,The Gaslight Theater,2018-09-28,63108,St Louis,Missouri
145,Minus the Bear,Music,Dance/Electronic,The Ready Room,2018-10-12,63110,St. Louis,Missouri
146,SAN HOLO - ALBUM 1 TOUR,Music,Dance/Electronic,The Pageant,2018-12-07,63112,St Louis,Missouri
147,St. Louis Actors' Studio - Tribes,Arts & Theatre,Theatre,The Gaslight Theater,2018-11-30,63108,St Louis,Missouri
148,St. Louis Actors' Studio - True West,Arts & Theatre,Theatre,The Gaslight Theater,2019-04-12,63108,St Louis,Missouri
149,St. Louis Actors' Studio - 7th Annual LaBute New Theater Festival,Arts & Theatre,Theatre,The Gaslight Theater,2019-07-05,63108,St Louis,Missouri
150,St. Louis Actors' Studio - Farragut North,Arts & Theatre,Theatre,The Gaslight Theater,2019-02-08,63108,St Louis,Missouri
151,St. Louis Actors' Studio - True West,Arts & Theatre,Theatre,The Gaslight Theater,2019-04-19,63108,St Louis,Missouri
152,St. Louis Actors' Studio - 7th Annual LaBute New Theater Festival,Arts & Theatre,Theatre,The Gaslight Theater,2019-07-11,63108,St Louis,Missouri
153,St. Louis Actors' Studio - 7th Annual LaBute New Theater Festival,Arts & Theatre,Theatre,The Gaslight Theater,2019-07-26,63108,St Louis,Missouri
154,St. Louis Actors' Studio - Farragut North,Arts & Theatre,Theatre,The Gaslight Theater,2019-02-15,63108,St Louis,Missouri
155,St. Louis Actors' Studio - 7th Annual LaBute New Theater Festival,Arts & Theatre,Theatre,The Gaslight Theater,2019-07-07,63108,St Louis,Missouri
156,St. Louis Actors' Studio - 7th Annual LaBute New Theater Festival,Arts & Theatre,Theatre,The Gaslight Theater,2019-07-19,63108,St Louis,Missouri
157,St. Louis Actors' Studio - 7th Annual LaBute New Theater Festival,Arts & Theatre,Theatre,The Gaslight Theater,2019-07-21,63108,St Louis,Missouri
158,St. Louis Actors' Studio - The Little Foxes,Arts & Theatre,Theatre,The Gaslight Theater,2018-10-05,63108,St Louis,Missouri
159,Super Whatevr,Music,Pop,Duck Room at Blueberry Hill,2018-09-08,63130,St Louis,Missouri
160,St. Louis Actors' Studio - 7th Annual LaBute New Theater Festival,Arts & Theatre,Theatre,The Gaslight Theater,2019-07-25,63108,St Louis,Missouri
161,Kinky Friedman,Music,Other,Off Broadway,2018-08-09,63118,St. Louis,Missouri
162,Susto,Music,Country,Off Broadway,2018-08-08,63118,St. Louis,Missouri
163,Ian Fisher,Arts & Theatre,Miscellaneous,Off Broadway,2018-08-11,63118,St. Louis,Missouri
164,Hudson Moore,Music,Rock,Tin Roof - St Louis,2018-08-17,63102,St. Louis,Missouri
165,Maggie Rose,Music,Country,Off Broadway,2018-08-17,63118,St. Louis,Missouri
166,Bronco - Bryndis - Liberacion,Music,World,El Volcan Discoteque,2018-08-19,63110,St Louis,Missouri
167,Mastering Mixology: Patron Tasting and Training Class,Miscellaneous,Food & Drink,Tin Roof - St Louis,2018-08-21,63102,St. Louis,Missouri
168,Chuck Prophet,Music,Other,Off Broadway,2018-08-21,63118,St. Louis,Missouri
169,Cults,Music,Other,The Ready Room,2018-08-22,63110,St. Louis,Missouri
170,Yuno,Music,Other,The Ready Room,2018-08-23,63110,St. Louis,Missouri
171,Wolf Parade,Music,Alternative,Off Broadway,2018-08-25,63118,St. Louis,Missouri
172,DK the Drummer,Music,Other,The Ready Room,2018-08-26,63110,St. Louis,Missouri
173,Kid Congo & The pink monkey birds,Music,Other,Off Broadway,2018-08-28,63118,St. Louis,Missouri
174,Sawyer Fredericks,Music,Country,Off Broadway,2018-08-29,63118,St. Louis,Missouri
175,Dave Alvin,Music,Country,Off Broadway,2018-08-31,63118,St. Louis,Missouri
176,Clownvis,Arts & Theatre,Comedy,Duck Room at Blueberry Hill,2018-09-07,63130,St Louis,Missouri
177,Flatland Cavalry,Music,Other,Off Broadway,2018-09-08,63118,St. Louis,Missouri
178,Shinyribs,Music,Country,Off Broadway,2018-09-09,63118,St. Louis,Missouri
179,Dead Sara,Music,Other,The Ready Room,2018-09-11,63110,St. Louis,Missouri
180,Ryley Walker,Music,Other,Off Broadway,2018-09-11,63118,St. Louis,Missouri
181,Joshua Hedley,Music,Other,Off Broadway,2018-09-12,63118,St. Louis,Missouri
182,Gary Numan,Music,Dance/Electronic,The Ready Room,2018-09-13,63110,St. Louis,Missouri
183,Karma Dealer Cd Release,Music,Rock,Duck Room at Blueberry Hill,2018-09-15,63130,St Louis,Missouri
184,Emo Night Brooklyn,Music,Dance/Electronic,The Ready Room,2018-09-22,63110,St. Louis,Missouri
185,Q In The Lou VIP Pass,Miscellaneous,Fairs & Festivals,Kiener Plaza,2018-09-22,63101,St Louis,Missouri
