,event name,Classification,genre,venue,Date,Zip code,City,State
168,Detroit Tigers at Kansas City Royals,Sports,Baseball,Kauffman Stadium,2018-08-29,64129,Kansas City,Missouri
169,Cleveland Indians at Kansas City Royals,Sports,Baseball,Kauffman Stadium,2018-09-27,64129,Kansas City,Missouri
170,Cleveland Indians at Kansas City Royals,Sports,Baseball,Kauffman Stadium,2018-09-28,64129,Kansas City,Missouri
171,Cleveland Indians at Kansas City Royals,Sports,Baseball,Kauffman Stadium,2018-09-29,64129,Kansas City,Missouri
172,Cleveland Indians at Kansas City Royals,Sports,Baseball,Kauffman Stadium,2018-09-30,64129,Kansas City,Missouri
173,Mix 93.3 presents Sting & Shaggy - The 44/876 Tour,Music,Rock,Arvest Bank Theatre at the Midland,2018-10-04,64105,Kansas City,Missouri
174,Smells Like Nirvana w/ special guest My Hero,Music,Undefined,VooDoo Lounge at Harrah's Casino North Kansas City,2018-09-22,64116,Kansas City,Missouri
175,Leslie Odom Jr.,Music,R&B,Helzberg Hall-Kauffman PAC,2018-09-22,64106,Kansas City,Missouri
176,KT Tunstall,Music,Folk,The Record Bar,2018-10-30,64108,Kansas City,Missouri
177,Chicago - The Musical,Arts & Theatre,Undefined,Starlight Theatre,2018-09-14,64132,Kansas City,Missouri
178,El Ten Eleven,Music,Rock,The Record Bar,2018-11-17,64108,Kansas City,Missouri
179,Boy George w/ Culture Club,Music,Alternative,Starlight Theatre,2018-09-07,64132,Kansas City,Missouri
180,O.A.R. w/ Matt Nathanson,Music,Alternative,Starlight Theatre,2018-09-08,64132,Kansas City,Missouri
181,O.A.R. - Just Like Paradise Tour with special guest Matt Nathanson,Music,Rock,Starlight Theatre,2018-09-08,64132,Kansas City,Missouri
182,sTrapback & Friends,Music,Dance/Electronic,The Record Bar,2018-08-10,64108,Kansas City,Missouri
183,Trevor Powers,Music,Rock,Encore at The Uptown Theater,2018-10-08,64111,Kansas City,Missouri
184,Tedeschi Trucks Band,Music,Blues,Arvest Bank Theatre at The Midland,2018-10-30,64105,Kansas City,Missouri
185,Ripe,Music,Rock,The Record Bar,2018-09-10,64108,Kansas City,Missouri
186,His Dream Of Lions,Music,Rock,Encore at The Uptown Theater,2018-08-13,64111,Kansas City,Missouri
187,ISLAND,Music,Pop,The Record Bar,2018-09-28,64108,Kansas City,Missouri
188,The Shook Twins - Presented By Bluegrass In The Bottoms,Music,Country,The Record Bar,2018-09-11,64108,Kansas City,Missouri
189,Local H - Pack Up The Cats Tour,Music,Rock,Riot Room,2018-10-12,64111,Kansas City,Missouri
190,Steven Curtis Chapman,Music,Pop,Folly Theater,2018-11-15,64105,Kansas City,Missouri
191,Natalie Prass,Music,Folk,The Record Bar,2018-10-08,64108,Kansas City,Missouri
192,American Royal: PRCA Pro Rodeo SATURDAY NIGHT,Sports,Rodeo,Hale Arena,2018-09-29,64102,Kansas City,Missouri
