,event name,Classification,genre,venue,Date,Zip code,City,State
144,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-16,98101,Seattle,Washington
145,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-19,98101,Seattle,Washington
146,Dermot Kennedy,Music,Rock,Neptune Theatre,2018-11-15,98105,Seattle,Washington
147,Los Angeles Dodgers at Seattle Mariners,Sports,Baseball,Safeco Field,2018-08-19,98134,Seattle,Washington
148,New York Yankees at Seattle Mariners,Sports,Baseball,Safeco Field,2018-09-08,98134,Seattle,Washington
149,New York Yankees at Seattle Mariners,Sports,Baseball,Safeco Field,2018-09-09,98134,Seattle,Washington
150,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-15,98101,Seattle,Washington
151,Seattle Storm vs. Dallas Wings,Sports,Basketball,KeyArena,2018-08-19,98109,Seattle,Washington
152,Simple Minds,Music,Rock,Moore Theatre,2018-10-28,98101,Seattle,Washington
153,Welcome To Night Vale,Arts & Theatre,Theatre,Neptune Theatre,2019-01-18,98105,Seattle,Washington
154,A John Waters Christmas,Arts & Theatre,Comedy,Neptune Theatre,2018-12-02,98105,Seattle,Washington
155,RuPaul's Drag Race: Werq The World,Arts & Theatre,Fashion,Paramount Theatre,2018-09-23,98101,Seattle,Washington
156,Celeste Barber Live,Arts & Theatre,Comedy,Neptune Theatre,2018-11-05,98105,Seattle,Washington
157,Paul Reiser,Arts & Theatre,Comedy,Moore Theatre,2018-11-17,98101,Seattle,Washington
158,Elvis Costello & the Imposters,Music,Rock,Paramount Theatre,2018-12-03,98101,Seattle,Washington
159,Jesus Culture,Music,Religious,Paramount Theatre,2018-10-06,98101,Seattle,Washington
160,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-19,98101,Seattle,Washington
161,Straight No Chaser,Music,Rock,McCaw Hall,2018-12-31,98109,Seattle,Washington
162,Stephen Malkmus and the Jicks,Music,Rock,Neptune Theatre,2018-08-04,98105,Seattle,Washington
163,Ben Howard,Music,Rock,Paramount Theatre,2018-09-21,98101,Seattle,Washington
164,Beach Goth Tour 2018 - The Growlers,Music,Rock,Neptune Theatre,2018-09-07,98105,Seattle,Washington
165,Nick Lowe's Quality Rock & Roll Revue starring Los Straitjackets,Music,Rock,Neptune Theatre,2018-10-10,98105,Seattle,Washington
166,Kali Uchis w/ Gabriel Garzon-Montano,Music,Other,Showbox SODO,2018-09-13,98134,Seattle,Washington
167,Frankie Cosmos,Music,Rock,Neptune Theatre,2018-11-10,98105,Seattle,Washington
168,moe.,Music,Rock,Neptune Theatre,2018-10-12,98105,Seattle,Washington
169,Seattle Mariners vs. Texas Rangers,Sports,Baseball,Safeco Field,2018-09-28,98134,Seattle,Washington
170,Joyce Manor,Music,Rock,Neptune Theatre,2018-10-31,98105,Seattle,Washington
171,Mudhoney + The Scientists,Music,Rock,Neptune Theatre,2018-09-29,98105,Seattle,Washington
172,She Wants Revenge,Music,Rock,Neptune Theatre,2018-10-07,98105,Seattle,Washington
173,Neko Case,Music,Rock,Paramount Theatre,2018-11-29,98101,Seattle,Washington
174,Noah Cyrus,Music,Rock,Neptune Theatre,2018-10-22,98105,Seattle,Washington
175,Deafheaven,Music,Rock,Neptune Theatre,2018-08-10,98105,Seattle,Washington
176,SOB X RBE,Music,Other,Showbox at the Market,2018-10-27,98104,Seattle,Washington
177,Minus the Bear,Music,Dance/Electronic,Showbox at the Market,2018-12-14,98104,Seattle,Washington
178,Beach Goth Tour 2018 - The Growlers,Music,Rock,Neptune Theatre,2018-09-08,98105,Seattle,Washington
179,Seattle Mariners vs. Baltimore Orioles,Sports,Baseball,Safeco Field,2018-09-05,98134,Seattle,Washington
180,Tommy Emmanuel w/ Special Guest: Jerry Douglas,Music,Jazz,Moore Theatre,2018-12-05,98101,Seattle,Washington
181,Jeff Tweedy,Music,Rock,Moore Theatre,2018-09-30,98101,Seattle,Washington
182,Japanese Breakfast,Music,Pop,Neptune Theatre,2018-09-25,98105,Seattle,Washington
183,Gary Numan - The Second Savage North American Tour With Nightmare Air,Music,Dance/Electronic,Neptune Theatre,2018-10-02,98105,Seattle,Washington
184,Seattle Mariners vs. Baltimore Orioles,Sports,Baseball,Safeco Field,2018-09-04,98134,Seattle,Washington
185,FreakNight 2018,Music,Dance/Electronic,WaMu Theater,2018-10-26,98134,Seattle,Washington
186,Alina Baraz,Music,Dance/Electronic,Showbox at the Market,2018-10-05,98104,Seattle,Washington
187,Seattle Mariners vs. San Diego Padres,Sports,Baseball,Safeco Field,2018-09-11,98134,Seattle,Washington
188,Gallant,Music,R&B,Neptune Theatre,2018-11-07,98105,Seattle,Washington
189,Hot Tuna Electric With Steve Kimock,Music,Rock,Neptune Theatre,2018-08-30,98105,Seattle,Washington
190,Oregon State Beavers Football at Washington Huskies Football,Sports,Football,Husky Stadium-WA,2018-11-17,98195,Seattle,Washington
191,Jorja Smith,Music,Other,Showbox SODO,2018-11-19,98134,Seattle,Washington
192,Colorado Buffaloes Football at Washington Huskies Football,Sports,Football,Husky Stadium-WA,2018-10-20,98195,Seattle,Washington
193,Rex Orange County,Music,Other,Showbox at the Market,2018-08-08,98104,Seattle,Washington
194,Matthew Sweet + The Dream Syndicate,Music,Rock,Neptune Theatre,2018-10-17,98105,Seattle,Washington
195,Bob Moses - Battle Lines Tour With Special Guest Mansionair,Music,Dance/Electronic,Neptune Theatre,2018-09-26,98105,Seattle,Washington
196,Belly - 2018 Dove Tour,Music,Rock,Neptune Theatre,2018-08-12,98105,Seattle,Washington
197,Henry Rollins Travel Slideshow,Music,Other,Neptune Theatre,2018-10-19,98105,Seattle,Washington
198,Seattle Mariners vs. Texas Rangers,Sports,Baseball,Safeco Field,2018-09-27,98134,Seattle,Washington
199,Dave Mason & Steve Cropper: Rock & Soul Revue,Music,Rock,Neptune Theatre,2018-09-19,98105,Seattle,Washington
200,Billie Eilish,Music,Other,Showbox at the Market,2018-10-24,98104,Seattle,Washington
201,Big Thief,Music,Rock,Neptune Theatre,2018-09-21,98105,Seattle,Washington
202,VNV Nation,Music,Rock,Neptune Theatre,2018-12-07,98105,Seattle,Washington
203,Garbage,Music,Alternative,Showbox SODO,2018-09-29,98134,Seattle,Washington
204,Wild Kratts Live 2.0 - Activate Creature Power!,Arts & Theatre,Children's Theatre,Paramount Theatre,2018-09-30,98101,Seattle,Washington
205,Joan Baez,Music,Country,Benaroya Hall,2018-11-04,98101,Seattle,Washington
206,Pigeons Playing Ping Pong,Music,Rock,Neptune Theatre,2018-10-13,98105,Seattle,Washington
207,Underoath,Music,Rock,Showbox SODO,2018-11-20,98134,Seattle,Washington
