,event name,Classification,genre,venue,Date,Zip code,City,State
230,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-11,33132,Miami,Florida
231,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-11,33132,Miami,Florida
232,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-12,33132,Miami,Florida
233,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-12,33132,Miami,Florida
234,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-14,33132,Miami,Florida
235,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-15,33132,Miami,Florida
236,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-16,33132,Miami,Florida
237,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-17,33132,Miami,Florida
238,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-18,33132,Miami,Florida
239,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-18,33132,Miami,Florida
240,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-19,33132,Miami,Florida
241,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-19,33132,Miami,Florida
242,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-21,33132,Miami,Florida
243,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-22,33132,Miami,Florida
244,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-23,33132,Miami,Florida
245,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-24,33132,Miami,Florida
246,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-25,33132,Miami,Florida
247,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-25,33132,Miami,Florida
248,The Lion King,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-05-26,33132,Miami,Florida
249,Come from Away,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-06-18,33132,Miami,Florida
250,Come from Away,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-06-19,33132,Miami,Florida
251,Come from Away,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-06-20,33132,Miami,Florida
252,Come from Away,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-06-21,33132,Miami,Florida
253,Come from Away,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-06-22,33132,Miami,Florida
254,Come from Away,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-06-22,33132,Miami,Florida
255,Come from Away,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-06-23,33132,Miami,Florida
256,Come from Away,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-06-23,33132,Miami,Florida
257,El cuarto de al lado... o una historia sobre el vibrador,Arts & Theatre,Theatre,Miami Dade County Auditorium,2018-08-10,33135,Miami,Florida
258,St. Louis Cardinals at Miami Marlins,Sports,Baseball,Marlins Ballpark,2018-08-08,33125,Miami,Florida
259,St. Louis Cardinals at Miami Marlins,Sports,Baseball,Marlins Ballpark,2018-08-07,33125,Miami,Florida
260,Hasan Minhaj,Arts & Theatre,Miscellaneous,Olympia Theater - FL,2018-08-24,33131,Miami,Florida
261,School of Rock - The Musical,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-04-13,33132,Miami,Florida
262,School of Rock - The Musical,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-04-13,33132,Miami,Florida
263,Hello Dolly,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2018-11-21,33132,Miami,Florida
264,Hello Dolly,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2018-11-25,33132,Miami,Florida
265,Indiana Hoosiers Football at Florida International Panthers Football,Sports,Football,Riccardo Silva Stadium,2018-09-01,33199,Miami,Florida
266,Escape the Fate,Music,Metal,The Ground,2018-10-05,33132,Miami,Florida
267,Florida Atlantic Owls Football at Florida International Panthers Football,Sports,Football,Riccardo Silva Stadium,2018-11-03,33199,Miami,Florida
268,IL DIVO: Timeless Tour,Music,Rock,The Fillmore Miami Beach at Jackie Gleason Theater,2018-11-18,33139,Miami Beach,Florida
269,Waitress,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-02-26,33132,Miami,Florida
270,Waitress,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-02-27,33132,Miami,Florida
271,Waitress,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-02-28,33132,Miami,Florida
272,Waitress,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-03-01,33132,Miami,Florida
273,Waitress,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-03-02,33132,Miami,Florida
274,Waitress,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-03-02,33132,Miami,Florida
275,Waitress,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-03-03,33132,Miami,Florida
276,Waitress,Arts & Theatre,Undefined,Ziff Ballet Opera House-Adrienne Arsht PAC,2019-03-03,33132,Miami,Florida
277,Dr. Jordan Peterson: 12 Rules For Life Tour - An Antidote To Chaos,Miscellaneous,Undefined,The Fillmore Miami Beach at Jackie Gleason Theater,2018-09-13,33139,Miami Beach,Florida
278,Al Pacino,Miscellaneous,Undefined,The Fillmore Miami Beach at Jackie Gleason Theater,2018-09-22,33139,Miami Beach,Florida
279,Daniel Habif - Inquebrantables Tour 2018,Miscellaneous,Undefined,The Fillmore Miami Beach at Jackie Gleason Theater,2018-11-02,33139,Miami Beach,Florida
