,event name,Classification,genre,venue,Date,Zip code,City,State
331,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-12,89169,Las Vegas,Nevada
332,An Intimate Evening with SANTANA Greatest Hits Live,Music,Rock,House of Blues Las Vegas presented by Cricket Wireless,2018-09-12,89119,Las Vegas,Nevada
333,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-11-18,89109,Las Vegas,Nevada
334,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-17,89169,Las Vegas,Nevada
335,Parkway Drive - REVERENCE North American Tour 2018,Music,Metal,House of Blues Las Vegas presented by Cricket Wireless,2018-08-31,89119,Las Vegas,Nevada
336,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-10-21,89109,Las Vegas,Nevada
337,Queen + Adam Lambert - The Crown Jewels,Music,Rock,Park Theater,2018-09-07,89109,Las Vegas,Nevada
338,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-09-15,89109,Las Vegas,Nevada
339,Ron White,Arts & Theatre,Comedy,Terry Fator Theatre at Mirage Hotel and Casino,2018-08-17,89109,Las Vegas,Nevada
340,"Reba, Brooks & Dunn - Together In Vegas",Music,Country,The Colosseum at Caesars Palace,2018-10-17,89109,Las Vegas,Nevada
341,Penn & Teller,Arts & Theatre,Comedy,Penn & Teller Theater at Rio Las Vegas,2018-08-18,89103,Las Vegas,Nevada
342,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-10-07,89109,Las Vegas,Nevada
343,THRICE,Music,Rock,House of Blues Las Vegas presented by Cricket Wireless,2018-11-16,89119,Las Vegas,Nevada
344,"Reba, Brooks & Dunn - Together In Vegas",Music,Country,The Colosseum at Caesars Palace,2018-10-12,89109,Las Vegas,Nevada
345,Martha Stewart Wine & Food Experience,Miscellaneous,Food & Drink,Las Vegas Festival Grounds,2018-10-13,89109,Las Vegas,Nevada
346,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-10-20,89109,Las Vegas,Nevada
347,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-02,89169,Las Vegas,Nevada
348,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-10-12,89109,Las Vegas,Nevada
349,"Reba, Brooks & Dunn - Together In Vegas",Music,Country,The Colosseum at Caesars Palace,2018-10-19,89109,Las Vegas,Nevada
350,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-09-16,89109,Las Vegas,Nevada
351,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-09-28,89109,Las Vegas,Nevada
352,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-18,89169,Las Vegas,Nevada
353,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-10-19,89109,Las Vegas,Nevada
354,Original Wailers and Ozomatli with CHALI 2NA at The Beach at Mandalay,Music,Reggae,Mandalay Bay Beach at Mandalay Bay Resort,2018-09-08,89119,Las Vegas,Nevada
355,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-09,89169,Las Vegas,Nevada
356,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-09-21,89109,Las Vegas,Nevada
357,Rodney Carrington,Arts & Theatre,Comedy,David Copperfield Theater at MGM Grand Hotel and Casino,2018-12-08,89109,Las Vegas,Nevada
