,event name,Classification,genre,venue,Date,Zip code,City,State
769,Cirque Dreams Holidaze,Arts & Theatre,Performance Art,Shubert Theatre-MA,2018-12-08,02116,Boston,Massachusetts
770,Miami Marlins at Boston Red Sox,Sports,Baseball,Fenway Park,2018-08-29,02215,Boston,Massachusetts
771,Belly,Music,Other,Royale Boston,2018-08-23,02116,Boston,Massachusetts
772,Bat Out Of Hell The Musical (Touring),Arts & Theatre,Theatre,Boch Center Wang Theatre (formerly Citi Performing Arts Center),2019-04-13,02116,Boston,Massachusetts
773,Butch Walker w/ Greg Holden,Music,Alternative,Royale Boston,2018-09-22,02116,Boston,Massachusetts
774,The Play That Goes Wrong,Arts & Theatre,Performance Art,Colonial Theatre - Boston,2018-11-16,02116,Boston,Massachusetts
775,Charlie Brown Christmas,Miscellaneous,Undefined,Shubert Theatre-MA,2018-11-29,02116,Boston,Massachusetts
776,Charlie Brown Christmas,Miscellaneous,Undefined,Shubert Theatre-MA,2018-12-01,02116,Boston,Massachusetts
777,Cinderella-Theater,Arts & Theatre,Undefined,Colonial Theatre - Boston,2018-12-22,02116,Boston,Massachusetts
778,Baltimore Orioles at Boston Red Sox,Sports,Baseball,Fenway Park,2018-09-24,02215,Boston,Massachusetts
779,Baltimore Orioles at Boston Red Sox,Sports,Baseball,Fenway Park,2018-09-25,02215,Boston,Massachusetts
780,Baltimore Orioles at Boston Red Sox,Sports,Baseball,Fenway Park,2018-09-26,02215,Boston,Massachusetts
781,Minus The Bear: The Farewell Tour.,Music,Rock,Paradise Rock Club,2018-10-30,02215,Boston,Massachusetts
782,John Butler Trio+,Music,Rock,Orpheum Theatre,2018-11-21,02108,Boston,Massachusetts
783,Charlie Brown Christmas,Miscellaneous,Undefined,Shubert Theatre-MA,2018-12-02,02116,Boston,Massachusetts
784,Cirque Dreams Holidaze,Arts & Theatre,Performance Art,Shubert Theatre-MA,2018-12-05,02116,Boston,Massachusetts
785,U.S. Gymnastics Championships - Senior Men's Competition - Day 1,Sports,Gymnastics,TD Garden,2018-08-16,02114,Boston,Massachusetts
786,U.S. Gymnastics Championships - Junior Men's Competition - Final Day,Sports,Gymnastics,TD Garden,2018-08-18,02114,Boston,Massachusetts
787,Cirque du Soleil: Luzia,Arts & Theatre,Miscellaneous,Grand Chapiteau at Suffolk Downs,2018-08-08,02128,Boston,Massachusetts
788,Cirque du Soleil: Luzia,Arts & Theatre,Miscellaneous,Grand Chapiteau at Suffolk Downs,2018-08-09,02128,Boston,Massachusetts
789,Kishi Bashi,Music,Other,City Winery - Boston,2018-08-08,02114,Boston,Massachusetts
790,Kishi Bashi,Music,Other,City Winery - Boston,2018-08-07,02114,Boston,Massachusetts
791,Antje Duvekot,Music,Other,City Winery - Boston,2018-08-09,02114,Boston,Massachusetts
792,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-05,02116,Boston,Massachusetts
793,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-05,02116,Boston,Massachusetts
794,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-09,02116,Boston,Massachusetts
795,Archie Hamilton,Music,Dance/Electronic,Bijou,2018-08-10,02116,Boston,Massachusetts
796,Cirque du Soleil: Luzia,Arts & Theatre,Miscellaneous,Grand Chapiteau at Suffolk Downs,2018-08-10,02128,Boston,Massachusetts
797,Mac McAnally,Music,Other,City Winery - Boston,2018-08-10,02114,Boston,Massachusetts
798,Fan Expo Boston,Arts & Theatre,Miscellaneous,Boston Convention & Exhibition Center,2018-08-10,02210,Boston,Massachusetts
799,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-10,02116,Boston,Massachusetts
800,Goldroom Saturdays,Music,Hip-Hop/Rap,The Gold Room,2018-08-11,02116,Boston,Massachusetts
801,Cirque du Soleil: Luzia,Arts & Theatre,Miscellaneous,Grand Chapiteau at Suffolk Downs,2018-08-11,02128,Boston,Massachusetts
802,Cirque du Soleil: Luzia,Arts & Theatre,Miscellaneous,Grand Chapiteau at Suffolk Downs,2018-08-11,02128,Boston,Massachusetts
803,Fan Expo Boston,Arts & Theatre,Miscellaneous,Boston Convention & Exhibition Center,2018-08-11,02210,Boston,Massachusetts
804,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-11,02116,Boston,Massachusetts
805,Ballyhoo!,Music,Rock,Rock On! Concert Cruise Aboard The Mass Bay Lines MV New Boston,2018-08-12,02110,Boston,Massachusetts
806,Cirque du Soleil: Luzia,Arts & Theatre,Miscellaneous,Grand Chapiteau at Suffolk Downs,2018-08-12,02128,Boston,Massachusetts
807,Cirque du Soleil: Luzia,Arts & Theatre,Miscellaneous,Grand Chapiteau at Suffolk Downs,2018-08-12,02128,Boston,Massachusetts
808,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-12,02116,Boston,Massachusetts
809,Skerryvore w/ Hermitage Green,Music,Other,City Winery - Boston,2018-08-13,02114,Boston,Massachusetts
810,David Broza,Music,Other,City Winery - Boston,2018-08-14,02114,Boston,Massachusetts
811,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-14,02116,Boston,Massachusetts
812,Kyle Eastwood,Music,Jazz,Scullers Jazz Club,2018-08-15,02134,Boston,Massachusetts
813,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-15,02116,Boston,Massachusetts
814,Kyle Eastwood,Music,Jazz,Scullers Jazz Club,2018-08-16,02134,Boston,Massachusetts
815,Chris Blue,Music,Other,City Winery - Boston,2018-08-16,02114,Boston,Massachusetts
816,U.S. Gymnastics Championships - All Session Tickets,Sports,Gymnastics,TD Garden,2018-08-16,02114,Boston,Massachusetts
817,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-16,02116,Boston,Massachusetts
818,Karrin Allyson,Music,Jazz,Scullers Jazz Club,2018-08-17,02134,Boston,Massachusetts
819,"Zebbler Encanti Experience, Moniker",Music,Dance/Electronic,Rock On! Concert Cruise Aboard The Mass Bay Lines MV New Boston,2018-08-17,02110,Boston,Massachusetts
820,Subsociety X Bijou,Music,Dance/Electronic,Bijou,2018-08-17,02116,Boston,Massachusetts
821,Marcia Ball,Music,Blues,City Winery - Boston,2018-08-17,02114,Boston,Massachusetts
822,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-17,02116,Boston,Massachusetts
823,Dwele,Music,Other,City Winery - Boston,2018-08-18,02114,Boston,Massachusetts
824,Dwele,Music,Other,City Winery - Boston,2018-08-18,02114,Boston,Massachusetts
825,U.S. Gymnastics  All Junior & Senior Mens Package,Sports,Gymnastics,TD Garden,2018-08-18,02114,Boston,Massachusetts
826,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-18,02116,Boston,Massachusetts
827,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-18,02116,Boston,Massachusetts
828,Los Elk,Music,Rock,Rock On! Concert Cruise Aboard The Mass Bay Lines MV New Boston,2018-08-19,02110,Boston,Massachusetts
829,Alejandro Escovedo w/ Joe Ely,Music,Country,City Winery - Boston,2018-08-19,02114,Boston,Massachusetts
830,U.S. Gymnastics Championships - Junior & Senior Womens Day 1 Package,Sports,Gymnastics,TD Garden,2018-08-19,02114,Boston,Massachusetts
831,U.S. Gymnastics  Junior & Senior Womens Final Day Package,Sports,Gymnastics,TD Garden,2018-08-19,02114,Boston,Massachusetts
832,U.S. Gymnastics  Senior Mens & Senior Womens Final Day Package,Sports,Gymnastics,TD Garden,2018-08-19,02114,Boston,Massachusetts
833,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-19,02116,Boston,Massachusetts
834,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-19,02116,Boston,Massachusetts
835,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-21,02116,Boston,Massachusetts
836,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-22,02116,Boston,Massachusetts
837,Jane Monheit,Music,Blues,City Winery - Boston,2018-08-23,02114,Boston,Massachusetts
838,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-23,02116,Boston,Massachusetts
839,Brian Cid,Music,Dance/Electronic,Bijou,2018-08-24,02116,Boston,Massachusetts
840,Collie Buddz Rock On! Concert Cruise,Music,Reggae,Provincetown II,2018-08-24,02110,South Boston,Massachusetts
841,"The Slackers, Doped Up Dollies",Music,Rock,Rock On! Concert Cruise Aboard The Mass Bay Lines MV New Boston,2018-08-24,02110,Boston,Massachusetts
842,Shawn Colvin,Music,Pop,City Winery - Boston,2018-08-24,02114,Boston,Massachusetts
843,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-24,02116,Boston,Massachusetts
844,Goldroom Saturdays,Music,Hip-Hop/Rap,The Gold Room,2018-08-25,02116,Boston,Massachusetts
845,Iris Dement,Music,Other,City Winery - Boston,2018-08-25,02114,Boston,Massachusetts
846,Emo Night Brooklyn,Music,Rock,Brighton Music Hall,2018-08-25,02134,Boston,Massachusetts
847,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-25,02116,Boston,Massachusetts
848,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-25,02116,Boston,Massachusetts
849,Booty Vortex,Music,R&B,Rock On! Concert Cruise Aboard The Mass Bay Lines MV New Boston,2018-08-26,02110,Boston,Massachusetts
850,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-26,02116,Boston,Massachusetts
851,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-26,02116,Boston,Massachusetts
852,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-28,02116,Boston,Massachusetts
853,Nikka Costa,Music,R&B,City Winery - Boston,2018-08-29,02114,Boston,Massachusetts
854,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-29,02116,Boston,Massachusetts
855,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-30,02116,Boston,Massachusetts
856,Vincent King,Music,Pop,Rock On! Concert Cruise Aboard The Mass Bay Lines MV New Boston,2018-08-31,02110,Boston,Massachusetts
857,"Pink Talking Fish - a Fusion of Pink Floyd, the Talking Heads & Phish",Music,Rock,Provincetown II,2018-08-31,02110,South Boston,Massachusetts
858,Loco Dice,Music,Dance/Electronic,Bijou,2018-08-31,02116,Boston,Massachusetts
859,Ben Bailey,Arts & Theatre,Miscellaneous,City Winery - Boston,2018-08-31,02114,Boston,Massachusetts
860,Ben Bailey,Arts & Theatre,Miscellaneous,City Winery - Boston,2018-08-31,02114,Boston,Massachusetts
861,"Mark Merren & Oompa, with Special Guests",Music,Hip-Hop/Rap,Brighton Music Hall,2018-08-31,02134,Boston,Massachusetts
862,Shear Madness,Arts & Theatre,Theatre,Charles Playhouse Second Stage,2018-08-31,02116,Boston,Massachusetts
863,Jeff Bradshaw w/ Teedra Moses,Music,Blues,City Winery - Boston,2018-09-01,02114,Boston,Massachusetts
864,Labor Day Sunday White Party,Music,Dance/Electronic,Royale Boston,2018-09-02,02116,Boston,Massachusetts
865,The Fixx,Music,Alternative,City Winery - Boston,2018-09-03,02114,Boston,Massachusetts
866,Davell Crawford,Music,Other,City Winery - Boston,2018-09-05,02114,Boston,Massachusetts
867,George Colligan Trio,Music,Jazz,Scullers Jazz Club,2018-09-06,02134,Boston,Massachusetts
868,Marshall Crenshaw,Music,Pop,City Winery - Boston,2018-09-06,02114,Boston,Massachusetts
869,Jon Regen,Music,Jazz,Scullers Jazz Club,2018-09-07,02134,Boston,Massachusetts
870,Jon Regen,Music,Jazz,Scullers Jazz Club,2018-09-07,02134,Boston,Massachusetts
871,BlackGummy,Music,Dance/Electronic,Bijou,2018-09-07,02116,Boston,Massachusetts
872,Marion Meadows,Music,Jazz,Scullers Jazz Club,2018-09-08,02134,Boston,Massachusetts
873,Marion Meadows,Music,Jazz,Scullers Jazz Club,2018-09-08,02134,Boston,Massachusetts
874,The Queers,Music,Rock,Rock On! Concert Cruise Aboard The Mass Bay Lines MV New Boston,2018-09-08,02110,Boston,Massachusetts
875,Jeff Austin w/ Brendan Bayliss,Music,Other,City Winery - Boston,2018-09-08,02114,Boston,Massachusetts
876,Jeff Austin w/ Brendan Bayliss,Music,Other,City Winery - Boston,2018-09-08,02114,Boston,Massachusetts
877,Brewer & Shipley,Music,Other,City Winery - Boston,2018-09-10,02114,Boston,Massachusetts
878,Canned Heat,Music,Other,City Winery - Boston,2018-09-11,02114,Boston,Massachusetts
879,Paul Brady,Music,Other,City Winery - Boston,2018-09-12,02114,Boston,Massachusetts
880,Jamison Ross,Music,Jazz,Scullers Jazz Club,2018-09-13,02134,Boston,Massachusetts
881,Jamison Ross,Music,Jazz,Scullers Jazz Club,2018-09-13,02134,Boston,Massachusetts
882,Kenny Garrett Band,Music,Jazz,Scullers Jazz Club,2018-09-14,02134,Boston,Massachusetts
883,Kenny Garrett Band,Music,Jazz,Scullers Jazz Club,2018-09-14,02134,Boston,Massachusetts
884,Chapo Trap House,Music,Other,The Wilbur,2018-09-14,02116,Boston,Massachusetts
885,Kenny Garrett Band,Music,Jazz,Scullers Jazz Club,2018-09-15,02134,Boston,Massachusetts
886,Kenny Garrett Band,Music,Jazz,Scullers Jazz Club,2018-09-15,02134,Boston,Massachusetts
887,Eric Lindell,Music,Other,City Winery - Boston,2018-09-17,02114,Boston,Massachusetts
888,Chick Corea Trio,Music,Jazz,Scullers Jazz Club,2018-09-19,02134,Boston,Massachusetts
889,Chick Corea Trio,Music,Jazz,Scullers Jazz Club,2018-09-19,02134,Boston,Massachusetts
890,Boyce Avenue,Music,Alternative,City Winery - Boston,2018-09-19,02114,Boston,Massachusetts
891,Chick Corea Trio,Music,Jazz,Scullers Jazz Club,2018-09-20,02134,Boston,Massachusetts
892,Chick Corea Trio,Music,Jazz,Scullers Jazz Club,2018-09-20,02134,Boston,Massachusetts
893,Jay Mohr,Arts & Theatre,Miscellaneous,City Winery - Boston,2018-09-20,02114,Boston,Massachusetts
894,Chick Corea Trio,Music,Jazz,Scullers Jazz Club,2018-09-21,02134,Boston,Massachusetts
895,Chick Corea Trio,Music,Jazz,Scullers Jazz Club,2018-09-21,02134,Boston,Massachusetts
896,Will Hoge,Music,Alternative,City Winery - Boston,2018-09-21,02114,Boston,Massachusetts
897,Chick Corea Trio,Music,Jazz,Scullers Jazz Club,2018-09-22,02134,Boston,Massachusetts
898,Chick Corea Trio,Music,Jazz,Scullers Jazz Club,2018-09-22,02134,Boston,Massachusetts
899,Michael McDonald,Music,Pop,Colonial Theatre - Boston,2018-09-22,02116,Boston,Massachusetts
900,Livingston Taylor,Music,Pop,City Winery - Boston,2018-09-22,02114,Boston,Massachusetts
901,Chick Corea Trio,Music,Jazz,Scullers Jazz Club,2018-09-23,02134,Boston,Massachusetts
902,Chick Corea Trio,Music,Jazz,Scullers Jazz Club,2018-09-23,02134,Boston,Massachusetts
903,Face to Face,Music,Alternative,City Winery - Boston,2018-09-23,02114,Boston,Massachusetts
904,Welcome To Night Vale,Arts & Theatre,Theatre,Berklee Performance Center,2018-09-23,02115,Boston,Massachusetts
905,Shemekia Copeland,Music,Blues,City Winery - Boston,2018-09-24,02114,Boston,Massachusetts
906,Whethan,Music,Other,Royale Boston,2018-09-25,02116,Boston,Massachusetts
907,Mt. Joy,Music,Other,Royale Boston,2018-09-26,02116,Boston,Massachusetts
908,The Bridge Trio with Max Moran Joe Dyson Conun Pappas,Music,Jazz,Scullers Jazz Club,2018-09-27,02134,Boston,Massachusetts
909,Over the Rhine,Music,Country,City Winery - Boston,2018-09-27,02114,Boston,Massachusetts
910,PermaDeath: A Video Game Opera,Arts & Theatre,Miscellaneous,Cutler Majestic Theatre,2018-09-27,02116,Boston,Massachusetts
911,Kenny Werner Quartet featuring Dave Liebman Esperanza Spalding and Ter,Music,Jazz,Scullers Jazz Club,2018-09-28,02134,Boston,Massachusetts
912,Kenny Werner Quartet featuring Dave Liebman Terri Lyne Carrington and,Music,Jazz,Scullers Jazz Club,2018-09-28,02134,Boston,Massachusetts
913,PermaDeath: A Video Game Opera,Arts & Theatre,Miscellaneous,Cutler Majestic Theatre,2018-09-28,02116,Boston,Massachusetts
